Time,Hops
1.06114,1
1.08576,2
1.12657,2
1.12879,3
1.1437,2
1.1458,2
1.17345,5
1.17459,5
1.19983,2
1.20178,3
1.20309,2
1.22573,7
1.23361,4
1.24106,3
1.24424,3
1.25539,2
1.25741,2
1.26122,3
1.26297,2
1.26455,2
1.2647,2
1.27684,1
1.28037,1
1.29174,5
1.29601,5
1.32077,2
1.32287,2
1.32445,2
1.3246,2
1.32593,3
1.32618,2
1.32777,2
1.32791,2
1.32819,3
1.35281,2
1.35574,2
1.35582,3
1.37857,2
1.38174,2
1.38567,2
1.38586,2
1.38744,2
1.38902,2
1.39061,2
1.39075,2
1.3909,2
1.39248,2
1.39407,2
1.39565,2
1.39723,2
1.39738,2
1.39752,2
1.398,5
1.40227,5
1.41259,5
1.43196,4
1.43641,4
1.43796,2
1.44113,2
1.44429,2
1.44765,2
1.44911,7
1.45112,2
1.45158,3
1.4527,2
1.45429,2
1.45555,3
1.45587,2
1.45674,7
1.45746,2
1.45785,3
1.45904,2
1.46062,2
1.46221,2
1.46235,2
1.4625,2
1.46264,2
1.46554,2
1.46713,2
1.46871,2
1.4703,2
1.47143,3
1.47188,2
1.47346,2
1.47398,3
1.47421,3
1.47505,2
1.47663,2
1.47678,2
1.47692,2
1.47707,2
1.47721,2
1.49734,2
1.50051,2
1.50359,1
1.50368,2
1.50544,1
1.50685,2
1.50841,2
1.51031,2
1.51318,2
1.51635,2
1.51636,2
1.51827,2
1.51845,2
1.51952,2
1.52318,2
1.52476,2
1.52634,2
1.52793,2
1.52951,2
1.5311,2
1.53124,2
1.53282,2
1.53441,2
1.53446,5
1.53599,2
1.53729,5
1.53755,5
1.53758,2
1.53916,2
1.54074,2
1.54233,2
1.54391,2
1.54406,2
1.54564,2
1.54722,2
1.54737,2
1.54751,2
1.54766,2
1.5478,2
1.54795,2
1.55004,2
1.55215,2
1.55373,2
1.55531,2
1.5569,2
1.55848,2
1.56006,2
1.56165,2
1.56323,2
1.56482,2
1.5664,2
1.56798,2
1.56957,2
1.57115,2
1.57273,2
1.57432,2
1.5759,2
1.57605,2
1.57619,2
1.57634,2
1.57648,2
1.57663,2
1.57677,2
1.57692,2
1.57784,3
1.57899,2
1.57949,3
1.57964,3
1.58216,2
1.58346,3
1.58532,2
1.58664,3
1.58849,2
1.58919,3
1.58943,3
1.59166,2
1.59198,3
1.59453,3
1.59476,3
1.59483,2
1.59799,2
1.60116,2
1.60433,2
1.6075,2
1.61066,2
1.61383,2
1.617,2
1.62017,2
1.62409,5
1.62439,2
1.62652,2
1.63005,2
1.63193,2
1.63351,2
1.63385,4
1.63509,2
1.63524,2
1.6371,2
1.63868,2
1.64027,2
1.64041,2
1.64315,2
1.64473,2
1.64504,2
1.64632,2
1.64706,2
1.6479,2
1.64897,2
1.64914,2
1.64948,2
1.65105,2
1.65107,2
1.65181,3
1.65208,5
1.65265,2
1.65296,2
1.65313,2
1.65423,2
1.65438,2
1.65452,2
1.65611,2
1.65625,2
1.65635,5
1.65784,2
1.65798,2
1.65905,2
1.65918,5
1.65944,5
1.66222,2
1.66227,5
1.66405,2
1.66511,5
1.66537,5
1.66538,2
1.66693,2
1.6672,2
1.66855,2
1.67172,2
1.6752,7
1.67529,2
1.67808,2
1.68122,2
1.68439,2
1.68756,2
1.69124,2
1.69283,2
1.69441,2
1.69568,3
1.69599,2
1.69758,2
1.69916,2
1.70059,3
1.70075,2
1.70184,3
1.70233,2
1.70391,2
1.70411,3
1.7055,2
1.70576,3
1.70591,3
1.70678,3
1.70708,2
1.70756,3
1.70785,1
1.70866,2
1.70921,3
1.70933,3
1.70936,3
1.71025,2
1.71183,2
1.71188,3
1.71342,2
1.71443,3
1.71466,3
1.71489,3
1.715,2
1.71514,2
1.71673,2
1.71687,2
1.71702,2
1.71716,2
1.71731,2
1.71744,3
1.71745,2
1.7176,2
1.71999,3
1.72025,2
1.72254,3
1.72342,2
1.72509,3
1.72533,3
1.72556,3
1.72658,2
1.72968,1
1.72975,2
1.73153,1
1.73292,2
1.73338,1
1.73524,1
1.73609,2
1.73926,2
1.74242,2
1.74559,2
1.74876,2
1.75193,2
1.75509,2
1.75857,2
1.76297,2
1.7646,2
1.76776,2
1.7701,5
1.77093,2
1.77371,2
1.7741,2
1.77538,5
1.77693,2
1.77727,2
1.78043,2
1.78059,2
1.78248,5
1.7825,2
1.7836,2
1.78441,2
1.78531,5
1.78632,2
1.78649,2
1.78667,2
1.78677,2
1.78814,5
1.78858,2
1.79007,2
1.79049,2
1.79097,5
1.79123,5
1.79149,5
1.79239,2
1.79352,2
1.7943,2
1.79432,5
1.79448,2
1.79465,2
1.79627,2
1.79716,5
1.79944,2
1.79999,5
1.80282,5
1.80286,2
1.80308,5
1.80334,5
1.80578,2
1.80894,2
1.81026,3
1.81211,2
1.81528,2
1.81548,3
1.81676,2
1.81845,2
1.81969,2
1.82046,3
1.82174,2
1.82258,2
1.82284,2
1.82478,2
1.82548,5
1.82556,3
1.82572,2
1.82585,3
1.82795,2
1.82831,5
1.8286,2
1.82887,2
1.82915,3
1.83112,2
1.83133,3
1.83306,3
1.83388,3
1.83428,2
1.83471,3
1.83629,4
1.83636,3
1.83643,3
1.83745,2
1.83801,3
1.83816,3
1.83831,3
1.83898,3
1.83996,3
1.84019,4
1.84054,4
1.84062,2
1.84153,3
1.84161,3
1.84326,3
1.84379,2
1.84408,3
1.84491,3
1.84506,3
1.84522,3
1.84663,3
1.84696,2
1.84824,3
1.84918,3
1.84941,3
1.84965,3
1.84988,3
1.85014,5
1.85037,3
1.85057,3
1.85064,2
1.85222,2
1.85237,2
1.8545,3
1.85551,2
1.8558,5
1.8566,2
1.85705,3
1.8596,3
1.86029,2
1.86187,2
1.86215,3
1.86345,2
1.8636,2
1.8647,3
1.86625,2
1.86725,3
1.86942,2
1.8698,3
1.87152,2
1.87235,3
1.87258,3
1.87281,3
1.87305,3
1.8731,2
1.87328,3
1.87469,2
1.87627,2
1.87785,2
1.87944,2
1.87996,7
1.88102,2
1.88261,2
1.88279,7
1.88419,2
1.88433,2
1.88448,2
1.88462,2
1.88654,2
1.88841,2
1.88886,2
1.89076,5
1.89203,2
1.89364,2
1.89571,2
1.89588,2
1.89623,5
1.89703,2
1.89839,2
1.89998,2
1.90125,7
1.90156,2
1.90314,2
1.90356,5
1.904,2
1.90511,2
1.90631,2
1.90692,7
1.90721,2
1.90756,5
1.91043,2
1.91107,2
1.91124,2
1.9114,2
1.91265,2
1.91365,2
1.91423,2
1.91463,5
1.91582,2
1.91727,2
1.91743,2
